geometry,SPEED_LIMIT
"MULTILINESTRING ((292032.51772941527 5640947.486962076, 292032.3555311675 5640947.48232666, 292022.0078734999 5640947.3068317035, 292017.28989860375 5640947.69633088, 292013.68700934097 5640947.963201796, 292007.9532993525 5640948.493630563, 292003.9354797325 5640948.777137275, 291998.93183793436 5640949.244912004, 291995.71807393956 5640949.730034953, 291992.7804654059 5640950.42679169, 291989.1600815451 5640951.66312571, 291986.04268390103 5640953.146542199, 291983.7230078433 5640954.497771946, 291980.8238212209 5640956.328765563, 291978.6087474206 5640957.653535131))",
"MULTILINESTRING ((295251.1512445146 5641874.620239118, 295253.1070779261 5641877.605058546, 295254.3760896219 5641879.78189084, 295255.38317377924 5641882.102674525, 295256.12834254006 5641884.389256062, 295256.34929043986 5641885.883702167, 295256.3825619961 5641887.7975331815, 295256.35741297936 5641889.301690995, 295256.05408165464 5641890.89476862, 295255.41277249635 5641893.024508185, 295254.4998862002 5641895.053619621, 295253.1413596544 5641897.567969315, 295250.6990637601 5641901.17173795))",50.0
"MULTILINESTRING ((275518.0481693902 5659774.265751863, 275594.9098755913 5659770.765911996, 275596.9308061206 5659771.86975749, 275598.75359086995 5659773.260669171, 275600.3492314869 5659774.917632436, 275601.6737470915 5659776.798008644, 275602.5096439449 5659778.421191776, 275603.146183042 5659780.142149314, 275603.5744226098 5659781.916718675, 275603.7798637647 5659783.734392607, 275609.6008257398 5659928.050706637))",40.0
"MULTILINESTRING ((282310.06117856107 5669548.1421819255, 282352.60072577 5669553.970553437))",40.0
"MULTILINESTRING ((274534.8168905011 5667130.164766226, 274533.1225691729 5667130.539720638, 274529.34028053924 5667131.106388161, 274527.6196092176 5667131.359978471, 274524.30051132286 5667131.616764873, 274521.19737219816 5667131.841816003, 274516.412011922 5667131.917803065, 274513.8999712598 5667131.8719218485, 274510.713575145 5667131.476887062, 274508.07208524534 5667130.5567613235, 274505.6140491873 5667129.183070866, 274503.61986694497 5667127.3546685325, 274501.72401091707 5667125.210088968, 274500.2358967724 5667122.290247048, 274499.4896819405 5667119.660908458, 274499.17184607044 5667116.567272698, 274499.53098272684 5667113.722431835, 274500.1159996262 5667110.912247367, 274502.3925572959 5667100.142098201, 274503.3764788568 5667095.554600068))",40.0
"MULTILINESTRING ((282862.20222078054 5658279.945202753, 282861.76298114634 5658267.501682957, 282860.71782486024 5658246.831339184, 282860.1676856028 5658230.082571997, 282859.4533248106 5658207.594162882, 282859.0627721269 5658197.4761719685))",40.0
"MULTILINESTRING ((281264.21260174055 5645427.032019394, 281258.020831231 5645427.271076966, 281251.40790692996 5645427.539054672, 281242.5641344524 5645427.990297248, 281231.5518075421 5645428.432863259, 281220.87256796047 5645428.928211798, 281212.43354993814 5645429.295599643, 281209.3055740193 5645429.405376567))",40.0
"MULTILINESTRING ((289957.86872753664 5664791.889823583, 289925.869074075 5664794.553495129, 289913.63606607437 5664795.831977584, 289903.7348556476 5664796.859467806, 289895.17390385846 5664797.910253622, 289884.7366435593 5664799.204637021, 289877.5019523278 5664800.279297664, 289870.97748106474 5664801.402943525, 289865.0792246269 5664802.578999288, 289858.33307332336 5664804.112596676, 289854.2396298073 5664805.526830951, 289850.50547760807 5664806.982087822, 289850.226172106 5664807.1827937495))",
"MULTILINESTRING ((279041.26714976534 5660371.7869295385, 279042.1462750529 5660390.014527955, 279043.1532463987 5660413.192772359, 279044.2077845275 5660439.119906211, 279045.3824176659 5660469.652760992, 279047.3045342221 5660513.373635949, 279048.5963751687 5660541.562627881, 279050.1291368472 5660575.866845856, 279050.8995233638 5660596.471364424, 279050.9310611605 5660602.45077401, 279051.50740519643 5660608.039311308, 279051.5369575947 5660612.17000476, 279052.3196053669 5660615.856353337, 279053.19094754435 5660618.336067763, 279053.95908843307 5660619.71760507))",40.0
"MULTILINESTRING ((286282.269253614 5659871.46595845, 286269.23545247794 5659878.09749198, 286253.29717009753 5659885.272585553, 286234.54920137953 5659893.076429128, 286225.4496816419 5659896.571666339))",
"MULTILINESTRING ((294890.6725260271 5666748.809605764, 294891.0450224448 5666757.981282627, 294891.4105216964 5666767.15323844))",40.0
