geometry,SPEED_LIMIT
"MULTILINESTRING ((281784.01257514546 5673159.877767237, 281783.0351683276 5673142.144253146, 281782.7026886891 5673134.317760226, 281782.3402669247 5673125.456776051, 281782.134639594 5673120.28669479, 281781.90955371177 5673113.669599017, 281781.62826895626 5673106.553714917, 281781.0367035472 5673092.133845624, 281780.55952174985 5673078.923076551, 281780.03114860144 5673066.650010441, 281779.46225505555 5673051.115454938, 281779.4122893245 5673050.104088805, 281778.92500534235 5673038.798217412, 281778.62596687995 5673030.76983468, 281778.32428417733 5673023.00885808, 281777.5827350198 5673006.2119928915, 281777.04086177645 5672990.654016359, 281776.99996571173 5672986.724308792, 281777.3517144044 5672983.30137174, 281778.0019387234 5672979.487089426, 281779.1342581789 5672975.3182108505, 281780.5222675309 5672970.904589139, 281781.40778068296 5672967.848782008))",50.0
"MULTILINESTRING ((288109.5882363779 5645280.230358064, 288111.969542086 5645276.324608476, 288115.02918376576 5645271.277562803, 288117.3556455828 5645267.407465424, 288119.41557388107 5645263.904606533, 288121.227566474 5645260.879581952))",50.0
"MULTILINESTRING ((281141.2884576826 5647058.525324993, 281139.472884901 5647059.526383597, 281136.50342275784 5647061.032802839, 281132.57307368104 5647063.448488625, 281127.3825916895 5647066.852908093, 281123.6555439702 5647069.582975928, 281120.1664261101 5647072.44777027, 281116.75928271527 5647075.42047056, 281113.07168538694 5647078.917313919))",40.0
"MULTILINESTRING ((292250.796717466 5645453.7580566695, 292248.2502769041 5645454.316675479, 292246.1359212232 5645454.768893423, 292244.15373439994 5645455.182408558, 292242.170210804 5645455.562572866, 292240.2644258252 5645455.950756506, 292237.45755698386 5645456.508686162, 292233.80492620915 5645457.211875296, 292230.4925885992 5645457.8012085855, 292227.6422247075 5645458.327482262, 292224.4335044537 5645458.868125001, 292221.49001279706 5645459.353595607, 292218.14823383774 5645459.910712141, 292214.52405412256 5645460.445748414, 292209.4871875816 5645461.204455652, 292204.0625218409 5645461.945312104, 292200.0729611245 5645462.495009218, 292196.08819875336 5645462.988841689, 292191.5900493798 5645463.492128523, 292187.60395076114 5645463.952615966, 292182.22045113717 5645464.491413529, 292177.2765071973 5645464.934644196, 292172.2258273311 5645465.348754811, 292165.0689521114 5645465.891877624, 292159.85309477226 5645466.223544096, 292154.9722850552 5645466.486102958, 292148.1152183282 5645466.783388517, 292144.90317185904 5645466.88994658, 292143.2940812191 5645466.9544844655))",40.0
"MULTILINESTRING ((278666.175411833 5656450.276442852, 278645.408379615 5656450.910351, 278628.98127809993 5656451.180113501, 278613.245521749 5656450.206323241, 278594.61990873376 5656447.206967489, 278575.81970782584 5656443.413274802, 278559.2534967767 5656438.309889333))",40.0
"MULTILINESTRING ((282981.7963167636 5674224.935218244, 282968.5535415693 5674234.91688846))",50.0
"MULTILINESTRING ((293250.5279375034 5667359.0192274, 293251.6769347848 5667365.988382239, 293252.70266075345 5667371.459207572, 293253.6761292459 5667376.1526528625, 293254.60806019296 5667380.33553758, 293255.8622929343 5667385.563339066, 293257.40964659245 5667391.458625429, 293258.2614782357 5667394.52005081, 293258.937791811 5667396.875860598))",50.0
"MULTILINESTRING ((294303.48164357874 5660157.475167544, 294303.14771097014 5660148.925585791, 294302.6419318473 5660136.418758561, 294302.3883258314 5660130.939263636, 294302.26276999636 5660127.614873258))",
"MULTILINESTRING ((281486.7931036375 5647520.866942278, 281448.057535689 5647536.244048793))",40.0
"MULTILINESTRING ((292308.0515086645 5650917.313871644, 292309.33452219004 5650948.39632798, 292309.5487992726 5650954.434128711))",
"MULTILINESTRING ((288971.62443549046 5660430.238723191, 288949.71039342316 5660469.086488238))",50.0
"MULTILINESTRING ((283204.126578133 5662427.867245086, 283205.9731624373 5662473.105115139))",
"MULTILINESTRING ((293501.50577272323 5672526.15650459, 293506.2703678707 5672642.954634444))",40.0
"MULTILINESTRING ((272274.10215604317 5668359.438012805, 272270.4526276376 5668367.574783955, 272267.1816143447 5668375.394061881, 272262.71764119645 5668386.351539663, 272259.59768313257 5668394.7322061155, 272256.53391949204 5668402.798507159, 272253.82138603815 5668410.247778619, 272251.7611281596 5668416.75481235, 272249.60978007567 5668424.212660414, 272247.8844327626 5668431.31749339, 272246.9305792841 5668435.581247581, 272246.1419727843 5668437.877293752, 272244.40881127643 5668441.796836074, 272240.72164204606 5668450.347431792))",50.0
"MULTILINESTRING ((272742.76074497023 5668864.108142548, 272746.3609582465 5668855.483808394, 272749.329893735 5668848.435621346, 272752.1288710225 5668842.141226218, 272755.81687462924 5668833.758070584, 272760.188355615 5668824.1863192385, 272768.0769491353 5668806.962982445, 272776.33906005125 5668788.832081601, 272781.6475331392 5668777.303141219, 272788.9400688092 5668761.49849126, 272796.4193263692 5668745.31803736, 272800.5948503687 5668736.066866227, 272803.0914351115 5668730.699222989))",50.0
"MULTILINESTRING ((278965.729027407 5662501.451867714, 279005.06733611226 5662531.773998655))",40.0
"MULTILINESTRING ((282650.5152740375 5650709.348420325, 282586.3970965468 5650711.730554568, 282522.27892277815 5650714.113484433, 282458.1602853079 5650716.486092965, 282394.0421188595 5650718.87061408))",40.0
"MULTILINESTRING ((280444.1698094511 5674033.079356946, 280438.04961872986 5673991.620081716))",50.0
"MULTILINESTRING ((292746.7917879175 5670220.211387761, 292751.5989838112 5670290.6393375425))",40.0
"MULTILINESTRING ((285279.1430514852 5671382.212705811, 285301.41817016015 5671407.2640103595))",40.0
"MULTILINESTRING ((277197.02703671943 5660519.340488704, 277190.1327857267 5660521.921528108, 277185.4777201265 5660524.662008623, 277181.15638253686 5660527.165323376, 277177.15071891213 5660529.17608568, 277173.95826174156 5660529.536760429, 277170.62849764165 5660528.344099396, 277168.1936411639 5660526.2551784115, 277166.7105368855 5660523.935798856, 277165.7764412661 5660521.325396694))",40.0
"MULTILINESTRING ((294302.44762813527 5666209.931206573, 294447.4508696839 5666204.250727562, 294449.95617516234 5666203.972531055, 294452.13279422757 5666203.362267469, 294454.05948467244 5666202.461332718, 294456.0112981335 5666201.136257078, 294457.07763615635 5666200.280810099, 294457.87848085596 5666199.447098824))",40.0
"MULTILINESTRING ((290196.42526668136 5659003.799918962, 290194.4171396382 5658954.583963759))",40.0
"MULTILINESTRING ((289660.22831087734 5656433.53525924, 289659.39749165473 5656415.206350814, 289657.56274105335 5656370.504485046, 289656.9428801738 5656355.975390375, 289656.05057592224 5656332.5154370945, 289654.6539977362 5656300.468138961, 289653.8290494393 5656281.59334607, 289653.1606565984 5656263.458268095, 289651.3764457811 5656220.513790929))",
"MULTILINESTRING ((285732.76786790055 5645213.237356318, 285743.70429883746 5645204.834141613, 285763.34590598056 5645180.536406007, 285769.5165371519 5645163.098512388, 285771.0704155752 5645134.102980997))",50.0
"MULTILINESTRING ((279551.3000563034 5673609.053870183, 279562.09249795444 5673582.52869452, 279572.6284673092 5673548.719439589, 279583.2360184026 5673504.337580772))",
"MULTILINESTRING ((283607.9611290644 5653182.482552448, 283600.75249928754 5653017.8193668155, 283600.05093702953 5653006.7679196615, 283598.8018979168 5653000.773083844, 283595.39651526406 5652994.3116820855))",40.0
"MULTILINESTRING ((278620.6029085602 5663112.006936398, 278659.96816198976 5663142.347414983))",50.0
"MULTILINESTRING ((283822.3269388911 5663421.478302819, 283826.59015338356 5663419.261430313, 283829.9075506483 5663417.40720493, 283832.5559722702 5663415.659003291, 283833.79731934733 5663414.81622103, 283834.85474934056 5663413.602506683, 283835.6288347376 5663411.821570549, 283836.27174500865 5663409.92363373, 283836.9328861531 5663407.456960362, 283837.62577618146 5663404.910998336, 283838.3088733223 5663402.13157651, 283838.94438091654 5663398.719359165))",40.0
"MULTILINESTRING ((279970.2374525571 5661001.7334880205, 279944.9940549665 5661002.788347574, 279927.7239072695 5661003.51419768))",40.0
"MULTILINESTRING ((282100.4781948103 5645238.176041589, 282113.9012267324 5645237.634003773))",
"MULTILINESTRING ((289167.0678756322 5652252.843397023, 289216.96518954897 5652250.018649399))",40.0
"MULTILINESTRING ((290914.84005782957 5646483.157844314, 290914.5805838562 5646477.077319617, 290914.0930433548 5646465.694472209, 290913.8528626754 5646460.091985912, 290913.5446376566 5646452.9778481675, 290912.2417472963 5646422.787019426, 290911.3206952034 5646395.954770211, 290910.3926231024 5646369.122805326, 290909.3369828935 5646338.955407359, 290908.27432379173 5646308.788293936, 290907.0546406849 5646274.730173064, 290905.82794004085 5646240.672337016, 290904.1386152769 5646207.356965373, 290902.9717403743 5646166.236955718, 290901.79785630235 5646125.117231455, 290899.8179868186 5646076.5805403935, 290898.0421092516 5646032.924003444, 290896.8947202044 5646000.655756385, 290895.7403125231 5645968.387794021, 290894.3478935439 5645934.058278346, 290892.9715322202 5645893.32533775))",
"MULTILINESTRING ((294783.36836036935 5665797.020122577, 294784.19991106977 5665816.651688817, 294785.0249076477 5665836.294651978, 294785.8569046816 5665855.93733662, 294786.74776135845 5665877.760169284))",40.0
"MULTILINESTRING ((286301.16915332526 5645938.438323316, 286303.5887433499 5645951.712791015, 286306.0083246835 5645964.987259725, 286308.4274388576 5645978.25061242, 286310.8470028114 5645991.525083148))",40.0
"MULTILINESTRING ((293723.44357003045 5672074.416598034, 293718.1339009048 5672079.239838512, 293696.05604515225 5672080.593909465, 293692.13177942194 5672081.731392025, 293689.54000853153 5672083.271930174, 293687.19245597656 5672084.791528423, 293683.23817286815 5672087.0994477235))",40.0
"MULTILINESTRING ((284040.98605832446 5656573.761995134, 284028.36618286953 5656574.323174358, 284015.745843061 5656574.873267404, 284003.1255038079 5656575.423391342, 283990.5056301254 5656575.984663242))",40.0
"MULTILINESTRING ((276662.4376631929 5666174.272746099, 276675.1018461847 5666173.467215083, 276686.7427090709 5666172.995686488, 276698.9879161803 5666172.230663517, 276708.339609173 5666171.847335117, 276715.1180791425 5666171.308315539, 276721.0180445717 5666170.885369557, 276722.9251608624 5666170.880625333))",50.0
"MULTILINESTRING ((285979.1237192397 5669989.791145112, 285966.526505003 5669991.952565407, 285952.40744108724 5669994.4112362405, 285935.22271743964 5669997.610084027, 285918.6366746436 5670000.717245203, 285907.26285072893 5670002.983789919, 285894.4338769398 5670005.466863809, 285884.5259250267 5670007.605602589, 285869.907880647 5670010.697793814, 285856.1920098543 5670013.752454623, 285841.9609030585 5670017.051343769, 285831.6253655701 5670019.519819886, 285821.19475386216 5670021.892048546, 285816.5503919858 5670022.909612997, 285813.7505014159 5670023.6387542365))",
"MULTILINESTRING ((288711.75706753426 5662412.228880981, 288730.9244046686 5662411.398662639, 288750.0842838037 5662410.557685452, 288769.2446199637 5662409.727896884, 288788.4115056292 5662408.886775375))",40.0
"MULTILINESTRING ((275634.6864044082 5659069.077566568, 275634.44786328555 5659063.429914031, 275634.21125574445 5659057.503731382, 275633.6529693187 5659045.3097920315, 275633.41080373386 5659040.063259612, 275633.32621514425 5659035.856832944, 275633.2662783435 5659032.217364419, 275633.25056998164 5659027.495602112, 275633.30857532506 5659023.015667301, 275633.4289354229 5659018.677813296, 275633.58119830245 5659014.427674956, 275633.75617923564 5659011.346022326, 275634.01067531377 5659007.347609377, 275634.3086748956 5659003.703715926, 275634.59120781405 5658999.704084098, 275634.86745709326 5658996.2059284365, 275635.0446146428 5658993.981795231, 275635.55795535946 5658991.898974804, 275636.3398078028 5658990.016098781, 275637.25555384747 5658988.305606825, 275638.3624723874 5658986.954351892, 275639.68207399885 5658985.64953931, 275641.29991513555 5658984.4208629355, 275642.9692347335 5658983.5686355205, 275644.75746329135 5658982.867168582, 275646.29385532986 5658982.510786606, 275649.04398847057 5658982.2909789, 275652.200876659 5658982.220556163, 275657.2313069921 5658981.9573043855, 275663.68139416625 5658981.721442224, 275668.6487449967 5658981.460943912, 275670.9691620057 5658981.371207283))",40.0
"MULTILINESTRING ((286212.68623837875 5664948.038195865, 286196.3893330714 5664948.881758161, 286187.29440992046 5664949.392965412, 286180.34398078546 5664949.703792165, 286174.97655508114 5664949.97117818))",
"MULTILINESTRING ((286242.3463651212 5639653.308903708, 286241.5011504567 5639651.606516977, 286241.01704404736 5639649.432696032, 286240.7233319742 5639647.2621724075, 286241.0531319123 5639644.832127277, 286243.4395944689 5639638.442154413, 286255.7080112677 5639612.257953215))",40.0
"MULTILINESTRING ((282795.0366254323 5657888.775958736, 282767.12763851526 5657889.905844822))",40.0
"MULTILINESTRING ((289627.7634269354 5655241.56953896, 289626.8707660235 5655245.525642811, 289625.6899029116 5655250.684999038, 289623.9898794282 5655258.448971157, 289622.8171723789 5655263.808438415, 289621.1103687431 5655271.40565338, 289620.055300255 5655276.203547953, 289619.4852378486 5655278.765694419))",
"MULTILINESTRING ((286416.2551432861 5646063.905594218, 286411.1943712451 5646045.795619074, 286407.02035464736 5646021.368435357, 286399.12088085565 5645944.299438595))",40.0
"MULTILINESTRING ((288114.7203327529 5654317.945950476, 288119.1665475706 5654323.220223667, 288123.8150911357 5654328.63097088, 288130.19467952364 5654336.331553364, 288135.7212485468 5654342.764218673, 288140.43927151756 5654348.3280321825, 288143.13800646923 5654351.769732351, 288145.31889984454 5654354.063397939, 288147.47317922383 5654355.8793134745, 288149.27926000237 5654357.085896225, 288151.69916380127 5654358.011191273, 288153.58357414627 5654358.557548728, 288155.2789450836 5654358.777580612, 288158.7675165203 5654358.690250389))",40.0
"MULTILINESTRING ((283719.8315610739 5645362.784231717, 283720.6338452077 5645356.369652902, 283720.6903373188 5645344.228731236, 283719.0671334899 5645317.814354379))",40.0
"MULTILINESTRING ((294635.9510189153 5642129.344152921, 294615.6824070156 5642138.909507258, 294592.9236038406 5642149.074601177, 294581.7986644759 5642154.091438682, 294571.2650912676 5642157.147453404, 294564.87483267125 5642157.957233613, 294553.97944146895 5642158.633659857, 294525.27669725206 5642159.53658663))",40.0
"MULTILINESTRING ((290754.13178950746 5659342.926981215, 290753.6525300844 5659316.744360033))",40.0
"MULTILINESTRING ((293075.150500283 5642076.1073582815, 293075.39180274395 5642145.189601183))",
"MULTILINESTRING ((283864.2293159843 5644676.54593797, 283825.3437029271 5644682.053947516))",40.0
"MULTILINESTRING ((276594.7272616094 5660349.214012134, 276594.3710731814 5660324.782130915, 276593.3137096679 5660300.369482316, 276592.2563494578 5660275.956834357, 276591.17096414196 5660251.545400998))",40.0
"MULTILINESTRING ((283629.97676035867 5653184.033380592, 283627.9732897235 5653135.996441846, 283625.96983160696 5653087.959505641, 283623.96685128787 5653039.933688997, 283621.96341821004 5652991.896757876))",50.0
"MULTILINESTRING ((292055.5680842198 5660547.499346266, 292077.21095062955 5660547.17239302))",40.0
"MULTILINESTRING ((295284.6263645296 5668485.774661524, 295291.4116636833 5668454.515495172, 295294.8763428011 5668425.905025379, 295297.02595341176 5668397.346890783, 295296.89260425407 5668361.597209895, 295295.92978860124 5668321.90528635))",40.0
"MULTILINESTRING ((276859.2874436988 5660650.87591523, 276820.9736682686 5660621.504090583))",40.0
"MULTILINESTRING ((285118.9189474602 5662560.739542053, 285117.4328351365 5662559.0864792615, 285116.69250685396 5662556.979137513, 285116.83093003964 5662554.746067802, 285117.8139117482 5662552.745063596))",40.0
"MULTILINESTRING ((277415.8927403359 5657454.098360971, 277436.0177460131 5657445.824287675, 277456.1362801439 5657437.561713728, 277476.2614060697 5657429.28780095, 277496.3795812314 5657421.014270594))",40.0
"MULTILINESTRING ((286279.99632850103 5652070.106165386, 286280.068458829 5652071.8515486885, 286280.5576827357 5652081.308132972, 286281.2708912361 5652090.911365981, 286281.68132351036 5652095.059297449, 286282.67273914116 5652104.250134532, 286283.1545200079 5652108.083307325, 286283.61458101 5652111.5610232465, 286284.29853277374 5652116.543993264, 286285.07726388855 5652121.779176273, 286286.330893106 5652128.809914465, 286287.13911725394 5652133.397986299, 286289.4132542559 5652144.540308783, 286290.051763521 5652147.743384691, 286291.2176348931 5652152.650759315, 286292.03329707036 5652156.058099958, 286294.6422720938 5652166.117523134, 286295.8504962558 5652170.689065856, 286297.03240588587 5652174.7939809365, 286298.5206221076 5652179.676899804, 286300.3421689172 5652185.481474908, 286301.663507784 5652189.558356771, 286303.5217687973 5652195.06074138, 286304.86152691697 5652198.903005037, 286307.150568353 5652205.133706478, 286308.9318002809 5652209.792933677, 286312.0056678917 5652217.494575975, 286314.2097398492 5652222.860176812, 286317.0693604542 5652229.290025621, 286320.49087283434 5652236.899353964, 286322.815529465 5652241.781123619, 286325.975510253 5652248.165156919, 286331.2416352172 5652258.226160892, 286334.457201932 5652264.0845059445, 286337.0141301366 5652268.633737268), (286337.0141301366 5652268.633737268, 286338.99086689146 5652272.071062181, 286341.9885928638 5652277.080933922, 286343.94072405424 5652280.263147287, 286347.15402033326 5652285.38661157, 286349.2221009743 5652288.65312453, 286352.4561088126 5652293.597558602, 286354.43183336174 5652296.500398594), (286354.43183336174 5652296.500398594, 286356.5860812455 5652299.640857163, 286359.18801753595 5652303.4087127345, 286360.9026339264 5652305.7766747195), (286360.9026339264 5652305.7766747195, 286366.168068385 5652312.931220816, 286372.18522615096 5652320.756288644, 286379.0846785145 5652329.179670065, 286383.8752857594 5652335.050926599, 286390.04106587835 5652342.391021432, 286397.3601329802 5652350.763681625, 286402.66914571903 5652357.103525933, 286408.18866937864 5652363.434679613, 286413.6903420163 5652369.844528114), (286413.6903420163 5652369.844528114, 286419.4294161617 5652376.556385897, 286428.687838514 5652387.465957263, 286436.91124707327 5652396.80356007, 286444.59258219483 5652405.951975962, 286450.5488566647 5652412.9889748655, 286456.7538063128 5652420.260703421, 286462.6204627161 5652427.000741499, 286468.1444347941 5652433.443126696, 286473.327233245 5652439.454162983), (286473.327233245 5652439.454162983, 286479.3728221711 5652446.4429578055, 286485.46830306144 5652453.619011495, 286490.66312939674 5652459.7520625675, 286495.77859037835 5652465.665673963), (286495.77859037835 5652465.665673963, 286497.9275776368 5652468.171643764, 286500.3209861376 5652470.979331924, 286502.64008811436 5652473.689864556, 286504.7147650145 5652476.098680451), (286504.7147650145 5652476.098680451, 286509.7955675784 5652482.024870716, 286515.2381058001 5652488.370436519, 286520.82694313774 5652494.854735861, 286524.7948644556 5652499.535102522), (286524.7948644556 5652499.535102522, 286554.1307360539 5652534.00395971, 286583.47324918647 5652568.472684522, 286598.8550157334 5652590.833764111, 286614.2432155898 5652613.183479767, 286621.81348704116 5652628.17198767), (286621.81348704116 5652628.17198767, 286633.9278757842 5652650.567765412, 286635.80793852423 5652654.56597407, 286636.9051476404 5652657.137666658, 286640.1229289752 5652664.766704366, 286642.5974757748 5652670.566694077, 286644.6218245916 5652676.017772306, 286647.5322136643 5652683.692905701, 286649.41621365433 5652689.149776534, 286650.433980255 5652692.181326814, 286652.29389943613 5652697.906456925, 286653.7990600823 5652702.699662506, 286656.4024767203 5652711.623565996, 286657.8655790804 5652716.930765497, 286658.46332356875 5652719.322621555, 286660.5083465552 5652727.49004412, 286661.99383193266 5652734.021284894, 286663.6330546123 5652741.893643043, 286664.5812935813 5652746.988230801, 286665.80733121815 5652753.8753944505, 286666.2885839632 5652756.851131534), (286666.2885839632 5652756.851131534, 286667.18013840367 5652762.616220638, 286668.1752584915 5652769.869265615, 286668.94422542735 5652776.24075893, 286669.7873638765 5652784.580270541, 286670.46721708693 5652790.66590391))",60.0
"MULTILINESTRING ((276637.4132015885 5660890.351781264, 276641.4631417388 5660895.85661642, 276646.21349661466 5660902.623095939, 276652.8217784645 5660910.311509539, 276659.56930321304 5660917.3256362025, 276675.32685376983 5660929.462760217))",40.0
"MULTILINESTRING ((283035.58784480486 5648994.0340037495, 283014.163746282 5648994.943109426, 282992.7391830995 5648995.841186953))",40.0
"MULTILINESTRING ((278246.1632070511 5669014.933885771, 278226.5580722523 5668999.250822707, 278199.5539161486 5668978.407131149, 278172.6770029736 5668958.081550247))",40.0
"MULTILINESTRING ((289629.0770446896 5655174.457083313, 289630.76173796505 5655167.005539353, 289632.2091239646 5655160.454512206, 289634.4141474855 5655150.598751554, 289637.2501333904 5655138.12269234, 289638.72083808784 5655131.281191853, 289640.58949006355 5655122.998124541))",
"MULTILINESTRING ((281746.99843969045 5663428.689028772, 281702.3422214112 5663466.330534036, 281670.5326093461 5663429.667578975))",40.0
"MULTILINESTRING ((291665.6354372648 5659413.386380174, 291692.5234603712 5659412.289559831, 291719.4184932378 5659411.192596919, 291746.30652049964 5659410.096057277, 291773.2015575211 5659408.999375139))",40.0
"MULTILINESTRING ((282439.3087361229 5670808.657092799, 282438.85827242176 5670797.516796807))",40.0
