UNITID,MISTNO,INSTDATE,MODIFIED_DT,SIGN_CODE,SIGN_DSCRN,SIGN_SIZE,SIGN_TYPE,STATUS_CD,SUPPORT_TYPE,POINT
1110088401,B2889,2017/12/07,2019/04/29,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Streetlight,POINT (-113.9758839 51.0450687)
1110014579,B2668,2005/01/27,2019/07/09,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.0848192 50.9590915)
1109355321,0341,1991/03/05,2011/08/05,NONILL,Transit only - Special Sign,,Flat Sheet,As-built,Trunk,POINT (-114.0627853 51.0464212)
1109356112,0804,2000/11/15,2015/10/16,11-224,No Left Turn on Red,600x900,Flat Sheet,As-built,Arm,POINT (-114.1505384 51.0977182)
1109707871,0135,2011/06/19,2013/09/17,11-804,No Left Turn,900x900,Flat Sheet,Active,Arm,POINT (-114.0412314 51.0814314)
1110425355,1279,2023/08/15,2023/08/15,11-240,Do Not Enter,900x900,Flat Sheet,Active,Pedestal,POINT (-114.1094947 51.023283)
1110074044,0878,2017/08/28,2018/02/22,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-113.9584619 50.9896792)
1109998277,0058,2015/08/18,2016/12/30,11-654,Turn Control - Dual Turn,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.001866 51.0927439)
1110005593,B2544,2009/04/01,2019/06/26,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.1732369 51.0802667)
1110255063,0958,2020/01/06,2020/01/14,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.1300692 51.1655077)
1110066795,0644,1999/09/02,2022/02/22,11-005,Yield On Solid Green,750x900,Flat Sheet,Active,Pedestal,POINT (-114.1294373 51.0056183)
1110210987,B2697,2019/03/27,2019/10/16,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9692567 50.8681528)
1109708564,0285,1991/01/01,2017/09/13,11-812,Left Turn Restriction  7:00-8:30 M-F,900x900,Flat Sheet,As-built,Arm,POINT (-114.0625739 51.0513605)
