YEAR,Section,Section Name,Volume,Shape Length,multilinestring
2022,City Section,16AV/TCH7,43000,867.709491534,"MULTILINESTRING ((-114.09396836155483 51.06698709245188, -114.09428521832035 51.06698244764841, -114.09475232856549 51.06698549504206, -114.09507759705582 51.0669897644498, -114.09537634943774 51.06700093980181, -114.09550189218031 51.067003906389694, -114.09576435526532 51.067014311207, -114.09603723361414 51.067017765930636, -114.09682990864157 51.06701759297757, -114.09755885097039 51.06701748044102, -114.09800148676952 51.06701551902109, -114.09811910912762 51.06701544732306, -114.09886344434355 51.067015880980605, -114.09936429204429 51.06701489537489, -114.09963162998993 51.067014738850204, -114.10024954543687 51.067015199442096, -114.10076045255443 51.06701527529472, -114.10105132619283 51.06701449202549, -114.10188672844993 51.06701323110492, -114.10209274435589 51.06701223959409, -114.10269393501521 51.06701571971327, -114.10315080684771 51.06701768355508, -114.10360689463046 51.06701928671815, -114.10415324728092 51.067020978517846, -114.10484693385258 51.06702426353345, -114.10561479689521 51.06703181946591, -114.1061864513653 51.06703709365993, -114.10634657355118 51.06704191401279))"
2022,City Section,22X1,10000,4086.5342072,"MULTILINESTRING ((-114.12546850739453 50.892796220928375, -114.1410843251717 50.892817928334715, -114.14355929065724 50.89282246005501, -114.1303893009389 50.89266426704377, -114.13825885064111 50.8926298725562, -114.1572096396253 50.89283888475687))"
2022,City Section,22XSE8,8000,3247.96489073,"MULTILINESTRING ((-113.9060429837541 50.90707803675782, -113.90568160088976 50.90707892487052, -113.9053202180132 50.907079811864705, -113.90495883654626 50.90708069774152, -113.90459745364527 50.90708158249862, -113.9042360707321 50.90708246613721, -113.90387468780678 50.90708334865727, -113.90351330487118 50.90708422915977, -113.90315192192162 50.907085109442754, -113.90279054038182 50.907085988608365, -113.9024291574081 50.90708686665427, -113.90206777442233 50.90708774358165, -113.90170639142457 50.90708861939047, -113.90134500841481 50.907089494080786, -113.90098362539308 50.90709036765255, -113.90062224378126 50.90709124010698, -113.90026086073566 50.907092111441685, -113.89989947767815 50.90709298165785, -113.89953809460873 50.90709385075546, -113.8991767115275 50.90709471873455, -113.89881532843637 50.90709558469611, -113.89845394675335 50.907096450439354, -113.89809256363668 50.907097315062835, -113.89773118050826 50.907098178567765, -113.89736979736809 50.90709904095417, -113.8970084142162 50.90709990222205, -113.89664703105261 50.907100762371364, -113.89628564929922 50.90710162140343, -113.89592426611232 50.9071024793157, -113.8955628829138 50.907103336109415, -113.89520149970367 50.907104191784605, -113.89484011648196 50.907105046341265, -113.8944787332487 50.90710589977936, -113.8941173514278 50.90710675120123, -113.89375596817149 50.90710760240228, -113.8933945849037 50.90710845248477, -113.89303320162446 50.90710930144873, -113.89267181833375 50.907110149294155, -113.89231043645351 50.90711099602235, -113.89194905314001 50.9071118416307, -113.89158766981514 50.90711268612053, -113.89122628647891 50.90711352949179, -113.89086490313137 50.907114371744534, -113.89050351977251 50.907115212878715, -113.89014213782424 50.90711605289572, -113.88978075444497 50.90711689089385, -113.88941937105236 50.907117728672425, -113.88905798764854 50.90711856533248, -113.88869660423352 50.90711940087399, -113.88833522080736 50.90712023529694, -113.8879738387919 50.90712106860274, -113.88761245534346 50.90712190078864, -113.88725107188392 50.90712273185598, -113.88688968841332 50.9071235618048, -113.88652830493167 50.90712439063509, -113.886166921439 50.9071252183468, -113.88580553935716 50.90712604494139, -113.8854441558425 50.90712687041605, -113.88508277231911 50.90712769387317, -113.88472138878258 50.90712851711075, -113.88436000523511 50.907129339229776, -113.88399862167678 50.907130160230274, -113.88363723952942 50.90713098011365, -113.88327585594938 50.90713179887706, -113.88291447235851 50.90713261652195, -113.88062604497159 50.90713311760785, -113.87835661822338 50.90713343631427, -113.87608719010291 50.90713371000946, -113.87381776345734 50.90713393959541, -113.8731721117073 50.90713605569937, -113.86984459663745 50.90714711394405, -113.86651707875085 50.907158077354545, -113.86318956090919 50.907168945933975, -113.85986204170861 50.907179719680656))"
2022,City Section,METISTRNE1,48000,1917.79318326,"MULTILINESTRING ((-113.98153906066601 51.09594543599708, -113.98152466893809 51.0973239592352, -113.98152451004212 51.09882960163539, -113.98152620700662 51.100113679697245, -113.98152687786632 51.10146481737155, -113.9814648949687 51.102565440310165, -113.98136637335728 51.103199034482564, -113.98122948033335 51.103737787921325, -113.98102608028027 51.10430366381084, -113.9806489702867 51.10507339301193, -113.98039636862381 51.105481890498325, -113.97989831204774 51.106080822426804, -113.97969742038036 51.10631030306924, -113.97955725554803 51.10648388563547, -113.97954788018781 51.10656333171632, -113.97915952210539 51.10693232641168, -113.97853271998082 51.10750718657836, -113.97809336156074 51.10790094283657, -113.97736777581329 51.108577066127346, -113.97682710055557 51.10906565202458, -113.9760001808598 51.10982816840484, -113.97553400411333 51.11017551209703, -113.9753071914087 51.110357728309985, -113.97507884205186 51.11062165410549, -113.97451872470336 51.11112919853057, -113.9738609884787 51.11173592620512, -113.97379524894666 51.11179676499157, -113.97376664845517 51.1118234811517))"
2022,City Section,METISTRNE2,38000,1540.27832144,"MULTILINESTRING ((-113.97376664845517 51.1118234811517, -113.97329866010617 51.11226183000854, -113.97284366820345 51.11271632085629, -113.97250202771662 51.113032086201784, -113.97223827269218 51.11332813501886, -113.97205743358654 51.11357368316355, -113.97199893145593 51.11364622984134, -113.97194928193633 51.11372436117092, -113.97190847497727 51.11382705336332, -113.97188343233897 51.113898947275516, -113.97147726590808 51.1144518223775, -113.97117515536442 51.11495971605504, -113.97094902848981 51.11536377068311, -113.97057162404498 51.11613994828431, -113.97037301003338 51.116653969696046, -113.97020272184628 51.11713456554462, -113.97011309219549 51.11747352330411, -113.9700489139502 51.11772378691242, -113.97001956032098 51.11790326614953, -113.96994357772259 51.1183378318363, -113.96985914576646 51.11902376297966, -113.96983168395242 51.119870928487174, -113.96983776782847 51.12083765542091, -113.96984381593539 51.12188163892763, -113.96982645776136 51.12251943494339, -113.96978507945197 51.12344162903218, -113.9697851981418 51.12388156535515, -113.9698782963609 51.12423281076138, -113.96992571627801 51.12447614833976, -113.96997579571779 51.124934599834894, -113.96998844276474 51.12514361958365))"
2022,City Section,ANDERSON3,36000,1001.31848798,"MULTILINESTRING ((-114.1089146880307 50.95048907280847, -114.10880566329298 50.95048324110299, -114.10867682161309 50.95048018133765, -114.10850751806339 50.950480375607455, -114.10803681219625 50.950473630842325, -114.10760405041617 50.95047640637231, -114.10709088694854 50.95048632279135, -114.10678519379692 50.95049610678585, -114.10654499567815 50.95049988973797, -114.10634053601883 50.95050601658726, -114.10540237194513 50.95051756855371, -114.10318244919084 50.95051587395698, -114.09988172117471 50.950517562040666, -114.09866025503092 50.95051388683103, -114.09844584752543 50.950510503260745, -114.09816393845419 50.95050361335946, -114.09764459019861 50.95047674283605, -114.09739641179817 50.95046150633826, -114.09703979396669 50.950440467491624, -114.09675787423116 50.95042882125511, -114.09636873980288 50.95040894720987, -114.09608344171006 50.950413128819456, -114.09564487551701 50.95038302567381, -114.09526261366726 50.95035719730642, -114.09497138064509 50.950344364992276, -114.0948367041258 50.950347741348246, -114.09476390104078 50.95034671176591, -114.09467836516127 50.95035004805811))"
2022,City Section,ANDERSON4,35000,719.035454528,"MULTILINESTRING ((-114.09467836516127 50.95035004805811, -114.09425797411075 50.95035077195082, -114.09335155368414 50.950350027399466, -114.09201645418108 50.95033945936002, -114.09009511992294 50.950329224563234, -114.08928076932258 50.95033220974838, -114.08789207598113 50.95032387220147, -114.08717316376061 50.95033015911892, -114.08633505066568 50.950335668554054, -114.08559668865523 50.95034022869219, -114.08462928653522 50.95034074577982, -114.08444568363832 50.950342655072795))"
2022,City Section,ANDERSON5,45000,945.805657197,"MULTILINESTRING ((-114.08444568363832 50.950342655072795, -114.08370050446827 50.950352040213346, -114.08276868368311 50.95036184608399, -114.08242694573984 50.95036513802643, -114.08213474120834 50.950365953393316, -114.08195268493067 50.95036371873845, -114.08044068265062 50.95036695172644, -114.076677585008 50.9503630451978, -114.07544661449515 50.95035450456854, -114.07435721086931 50.950361494326515, -114.07413332741574 50.95035804249103, -114.07327860563524 50.95035560442753, -114.0717017899882 50.95036970201964, -114.0709864021975 50.95035398419384))"
2022,City Section,ANDERSON8,45000,1512.2965414,"MULTILINESTRING ((-114.04188851472888 50.94810275011162, -114.04089335020137 50.9481036610616, -114.03955398474262 50.94810412233596, -114.036335215757 50.948105233689134, -114.03479890688966 50.94810576986054, -114.03426309828566 50.94811362900962, -114.03369212624244 50.94812968653188, -114.03323675358219 50.9481849555545, -114.03284279516998 50.948229653223095, -114.03242591792974 50.9482820728429, -114.0321729461256 50.94832146364941, -114.03187211264085 50.948370419627565, -114.03164147747827 50.94841249565443, -114.03132775664879 50.94847431464585, -114.03101772587844 50.9485436725271, -114.03073839326775 50.94861234007618, -114.03043614291228 50.94869130274967, -114.03017785062418 50.94876398015053, -114.02982976877996 50.948868675834035, -114.02951177285719 50.9489750763513, -114.02921881302359 50.949082027112695, -114.02886358222463 50.94921844609025, -114.02855276245877 50.9493497082265, -114.02826123630857 50.94948154830882, -114.0280334994727 50.94959392635649, -114.02777568601572 50.94972774568594, -114.027531174394 50.94987058624891, -114.02732206584534 50.94999496179657, -114.02716452297226 50.9500970318817, -114.02697867830193 50.95022616783065, -114.02678533625881 50.950366829326796, -114.02653798370852 50.95056290650923, -114.02638332241767 50.95069841362865, -114.0262329597265 50.9508390653811, -114.02604725298552 50.95102627711071, -114.02588401548357 50.95120551493371, -114.0257651764376 50.95135387509312, -114.02565514799909 50.95150275100973, -114.02556065820755 50.95163995905353, -114.02548336126458 50.95177630563339, -114.02532700481115 50.95206869313489, -114.02523216421878 50.952313677006615, -114.02518487387528 50.952678632126286, -114.0251774102928 50.953513507246406))"
2022,City Section,BARLOW11,25000,717.098430019,"MULTILINESTRING ((-114.00167264281335 51.00863747243581, -114.00169302026951 51.008731993478825, -114.00170862294208 51.00883139154699, -114.0017143506101 51.008928983708174, -114.00171566971345 51.00903364460276, -114.00172053433764 51.009335948628454, -114.00172107971272 51.00959491113904, -114.00172277332948 51.00976860818776, -114.00172156486911 51.009882234618956, -114.00172156851086 51.009980608957754, -114.00172251062905 51.010062826836474, -114.00172279206491 51.01019741652306, -114.00172037551175 51.0103583238455, -114.00172280172687 51.01045822370727, -114.0017224731223 51.010512167822114, -114.0017208373405 51.0109778764986, -114.00172085438926 51.01143858499523, -114.00172286623494 51.01235325681549, -114.00172362752325 51.01274584062049, -114.0017276116466 51.01304180846734, -114.00173555909471 51.013148796643954, -114.0017427149176 51.01331227841602, -114.00174112671863 51.01333327587267, -114.00175542907361 51.01341026684487, -114.00178579001087 51.01357346327997, -114.00180548718441 51.013666738249825, -114.0018261462982 51.01375772799751, -114.00184071511714 51.013827042575635, -114.00192266125053 51.01411767816687, -114.00195650898564 51.01421039190656, -114.001972311184 51.01425334840675, -114.00199025706122 51.014302276778935, -114.0020057572297 51.01434605404599, -114.00201636145168 51.014374895774765, -114.00203430844168 51.014414552979076, -114.00206775523597 51.01448665761855, -114.00209875351601 51.014553611147775, -114.00212159492207 51.0146009940661, -114.0021467897138 51.014657761367275, -114.00218757791087 51.01473295562154, -114.00223489272017 51.01482360136865, -114.00226262847644 51.01487355883628, -114.00229770721603 51.014934847769354), (-114.00238656445075 51.015086245553825, -114.00241507273361 51.01513183393472, -114.00243954746156 51.015169431378226, -114.00244834852839 51.015183292534026))"
