CROSS_STREET_NAME1,CROSS_STREET_NAME2,CROSSWALK_TYPE,CROSSWALK_COMP,NUMBER_OF_CROSSWALKS,MATERIAL,DIRECTION,POINT
COVENTRY HILLS WAY NE,COVEPARK DR NE,RSM,LADDER CROSSWALK,1,PAINT,E,POINT (-114.05372265876125 51.16931844489775)
30 AVE SE,28 ST SE,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-113.99194751381765 51.026950766096526)
SETON BLVD SE,AUBURN BAY ST SE,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.94911069978203 50.88401981623215)
LEGACY BV SE,LEGACY MAIN ST SE,RSM,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.02159314655297 50.86087430623024)
OGDEN RD SE,42 AVE SE,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-114.01554419650978 51.01554327965791)
RICHMOND RD SW,48 ST SW,SIGNAL,REGULAR CROSSWALK,3,PAINT,NEW,POINT (-114.15670112637359 51.01836715422314)
5 ST SW,19 AVE SW,CORRIDOR,LADDER CROSSWALK,1,PAINT,N,POINT (-114.07418785595536 51.03627812872149)
PRESTWICK CIRCLE SE,PRESTWICK ST SE,SCHOOL,LADDER CROSSWALK,2,PAINT,SW,POINT (-113.96680254258841 50.92659771804015)
17 AVE SW,77 AVE SW,SIGNALIZED,REGULAR CROSSWALK,2,PAINT,SE,POINT (-114.19929645093929 51.03794596624006)
15 AVE SW,5 ST SW,SIGNALIZED,STOP LINE,3,PAINT,NSW,POINT (-114.07440390948419 51.03889659641277)
114 AVE SE,DOUGLAS CENTRE ACCESS,SIGNALIZED,STOP LINE,3,PAINT,SEW,POINT (-113.99793842960622 50.952557917090466)
EDMONTON TR NE,18 AVE NE,REGULAR,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.05611635226471 51.06879445380965)
WOODPARK BLVD SW,WOODPARK/WOODSTOCK RD'S,REGULAR,RIGHT TURN,2,PAINT,EW,POINT (-114.10895860953855 50.94497483325624)
WILLINGTON BLVD SE,WILDERNESS DR SE,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.05737404439114 50.95289478942421)
HARVEST HILLS DR NE,HARVEST HILLS WAY NE,RSM,LADDER CROSSWALK,1,PAINT,N,POINT (-114.04535505425578 51.14997686549918)
8 AVE NE,REMINGTON RD NE,RSM,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.04292763768129 51.059587631886274)
80 AVE NE,SADDLETOWNE CIR,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.94432382992485 51.125203394453095)
34 AVE SW,19 ST SW,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.10630636151465 51.023188774884446)
PALLISER DR SW,22 ST SW,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.11319712397875 50.96920261711789)
