SEGMENT_ID,BUILT_STATUS,FULL_NAME,SPEED_LIMIT,CTP_CLASS,MULTILINESTRING,geometry
180103,Built,BRIDLERIDGE CR SW,40.0,Residential Street,"MULTILINESTRING ((-114.1078274 50.89888890000001, -114.1078281 50.89882320000001, -114.1078296 50.898737800000006, -114.1078328 50.898633100000005, -114.1078385 50.89852080000001, -114.107845 50.8984383, -114.1078508 50.8983601, -114.10785990000001 50.8982604, -114.1078666 50.8982019, -114.1078707 50.8981659, -114.1078732 50.8981456, -114.1078715 50.8981246, -114.1078638 50.8981059, -114.1078527 50.89808920000001, -114.1078349 50.898068300000006, -114.1078077 50.8980511, -114.1077839 50.8980383, -114.1077567 50.8980286, -114.1077066 50.8980174, -114.1075666 50.8979955, -114.107432 50.8979748, -114.1073004 50.8979561, -114.1071511 50.8979385, -114.1069556 50.8979173, -114.1067851 50.8979019, -114.10660610000001 50.8978881, -114.1064058 50.8978759, -114.1063564 50.897874, -114.1063098 50.8978719, -114.1062784 50.8978719, -114.1062453 50.8978762, -114.1062156 50.8978838, -114.1061936 50.8978908, -114.106169 50.897901))","MULTILINESTRING ((281473.2144863192 5643182.363202244, 281472.85753179475 5643175.061509176, 281472.35206032824 5643165.57216762, 281471.63667430496 5643153.94231095, 281470.70993551175 5643141.474979696, 281469.8665397651 5643132.32283774, 281469.09249557205 5643123.646646694, 281467.98574664246 5643112.590109645, 281467.2407049196 5643106.106602966, 281466.7838395833 5643102.116684397, 281466.5129974588 5643099.86737072, 281466.5341448595 5643097.5277979765, 281466.9878781522 5643095.426139548, 281467.69000712445 5643093.536746664, 281468.84348785237 5643091.160600059, 281470.67514069134 5643089.167932925, 281472.2883770078 5643087.674478717, 281474.15516181313 5643086.515576108, 281477.6248418457 5643085.122090841, 281487.36457764223 5643082.272827435, 281496.7303108754 5643079.5729782665, 281505.8945123531 5643077.104368079, 281516.3082239058 5643074.705640901, 281529.9530545217 5643071.769914747, 281541.8674966204 5643069.553030409, 281554.3870089749 5643067.48887486, 281568.4114619163 5643065.539554268, 281571.8755063107 5643065.182072318, 281575.14176786784 5643064.810648952, 281577.34926424164 5643064.717683479, 281579.69640574354 5643065.097710248, 281581.819967813 5643065.854660059, 281583.3993917764 5643066.567706138, 281585.17658234324 5643067.628794302))"
283913,Built,VALLEY RIDGE BV NW,,Arterial Street,"MULTILINESTRING ((-114.2485921 51.0897469, -114.248603 51.089681, -114.2486162 51.0896192, -114.2486279 51.0895468, -114.2486299 51.0894652))","MULTILINESTRING ((272513.2889973529 5664825.812714204, 272512.20232139854 5664818.520459077, 272510.9747498076 5664811.691104112, 272509.80014684505 5664803.678732336, 272509.259475408 5664794.613622984))"
209490,Built,COVILLE CI NE,40.0,Collector,"MULTILINESTRING ((-114.0430746 51.1725178, -114.0431452 51.1725387, -114.0432085 51.1725569, -114.0432359 51.172564, -114.0432669 51.172571, -114.0432883 51.1725756, -114.0433105 51.1725793, -114.0433369 51.1725836, -114.04338830000002 51.17258940000001, -114.043434 51.1725926, -114.04347470000002 51.1725947, -114.0435298 51.1725978, -114.043608 51.1726016, -114.0436584 51.1726038, -114.0437209 51.1726063))","MULTILINESTRING ((287282.8326830975 5673412.350083536, 287277.9948208756 5673414.877959606, 287273.6547131649 5673417.084541498, 287271.7724753587 5673417.953184764, 287269.63818116253 5673418.821131922, 287268.1637606275 5673419.39447501, 287266.62928590854 5673419.870078014, 287264.8040450305 5673420.424543214, 287261.2385141168 5673421.21813696, 287258.05937260704 5673421.706181768, 287255.22460564296 5673422.057463637, 287251.3880583835 5673422.561606354, 287245.94032527134 5673423.210445888, 287242.4281076732 5673423.6009329995, 287238.07162881875 5673424.059804375))"
42273,Built,DOVERTHORN CL SE,40.0,Residential Street,"MULTILINESTRING ((-113.9914408 51.0195668, -113.9917781 51.0195668, -113.9921153 51.0195669, -113.9924525 51.0195669, -113.9927898 51.0195669))","MULTILINESTRING ((290199.9236693395 5656260.048321907, 290176.2721358286 5656261.009182519, 290152.628067577 5656261.980983943, 290128.9835491713 5656262.941776516, 290105.3320202695 5656263.902962477))"
52255,Built,4 ST NW,50.0,Collector,"MULTILINESTRING ((-114.0714603 51.1072166, -114.0714601 51.1073292, -114.0714598 51.1074418, -114.0714596 51.1075544, -114.0714594 51.107667))","MULTILINESTRING ((284995.686776866 5666235.195208545, 284996.2235719147 5666247.71259892, 284996.7673663474 5666260.229697178, 284997.304162916 5666272.747087902, 284997.8409602514 5666285.264478801))"
220901,Built,TUSCANY GLEN RD NW,50.0,Collector,"MULTILINESTRING ((-114.2490064 51.1185112, -114.24905330000001 51.1184224))","MULTILINESTRING ((272625.5600082872 5668024.763438226, 272621.8423247477 5668015.0367117915))"
122723,Built,85 ST NW,,Arterial Street,"MULTILINESTRING ((-114.21091320000001 51.0958712, -114.2109153 51.0959252, -114.2109178 51.0959881, -114.2109451 51.0960532, -114.2109689 51.0961069))","MULTILINESTRING ((275180.9364416285 5665390.812696612, 275181.0515153761 5665396.822227993, 275181.1817833622 5665403.822383908, 275179.5866941686 5665411.14290166, 275178.18128675374 5665417.185399722))"
50602,Built,THAMES CL NW,40.0,Residential Street,"MULTILINESTRING ((-114.0784303 51.104854, -114.0779827 51.1051754, -114.078819 51.1058814))","MULTILINESTRING ((284496.88699671626 5665992.93622456, 284529.7098874294 5666027.355681614, 284474.46338794543 5666108.29301861))"
44528,Built,4 ST NW,,Neighbourhood Boulevard,"MULTILINESTRING ((-114.0715316 51.0674212, -114.0715403 51.0674043, -114.0715524 51.0673756, -114.0715645 51.067343, -114.0715743 51.0673105, -114.0715833 51.0672711, -114.07159 51.0672337, -114.071594 51.0671911, -114.0715939 51.06709380000001, -114.0715938 51.0670423, -114.0715942 51.0669897))","MULTILINESTRING ((284805.9761987908 5661811.27757109, 284805.28836862673 5661809.424209806, 284804.30762144586 5661806.268965768, 284803.30877536826 5661802.680152963, 284802.4715000578 5661799.0957325455, 284801.6582418723 5661794.741889646, 284801.0153718676 5661790.603664926, 284800.5374975394 5661785.879453834, 284800.09297973494 5661775.0621727565, 284799.86099798116 5661769.336547246, 284799.58888817276 5661763.490095061))"
126003,Built,15 ST SE,,Residential Street,"MULTILINESTRING ((-114.029812 50.9672155, -114.0302417 50.9668642, -114.0306544 50.9665326, -114.03073430000002 50.9664614, -114.03081060000001 50.9663912, -114.030855 50.96634550000001, -114.0309029 50.9662935, -114.0309735 50.9662101, -114.0310214 50.9661431, -114.0310605 50.966074, -114.031103 50.966005, -114.0311279 50.9659391, -114.0311757 50.9657946, -114.0311987 50.96569470000001, -114.0312111 50.9655506, -114.0312092 50.9654199, -114.03117710000001 50.9652596, -114.031113 50.9649527, -114.0310444 50.9646242, -114.0309758 50.9642957, -114.0309099 50.9640012, -114.0308441 50.9637066, -114.0307782 50.963412, -114.0307123 50.9631175, -114.030634 50.9627653, -114.0305577 50.9625045, -114.0304776 50.9622399, -114.0303354 50.9618339, -114.0301932 50.9614279, -114.0301141 50.961205, -114.0300349 50.9609822, -114.0300047 50.9609057, -114.02995670000001 50.9607963, -114.0299163 50.9607431, -114.0298622 50.960698, -114.029814 50.9606713, -114.0297523 50.9606457, -114.029652 50.9606323, -114.0294591 50.9606348, -114.0290772 50.9606422, -114.028892 50.960641, -114.028647 50.9606448, -114.0282285 50.9606546))","MULTILINESTRING ((287269.96160429134 5650550.083632634, 287238.19124924677 5650512.269546568, 287207.7039145229 5650476.596633968, 287201.7694147261 5650468.911935258, 287196.09219041513 5650461.328020058, 287192.7663554312 5650456.37569713, 287189.166007955 5650450.733104314, 287183.8285318986 5650441.665286823, 287180.159577472 5650434.3551346855, 287177.09877532546 5650426.786116317, 287173.79974065267 5650419.238034122, 287171.7504048286 5650411.9837636715, 287167.73404676665 5650396.057578141, 287165.6626034787 5650385.018009524, 287164.13316848304 5650369.034075123, 287163.6688860485 5650354.498539818, 287165.1893425203 5650336.585138415, 287168.2859318283 5650302.281670253, 287171.59973272635 5650265.563919634, 287174.9136088111 5650228.846174035, 287178.19346666755 5650195.916042572, 287181.4659112551 5650162.975087255, 287184.7454405758 5650130.033847719, 287188.02549145825 5650097.103729797, 287191.9123632865 5650057.723251352, 287196.07676041184 5650028.509579641, 287200.4906343506 5649998.862493436, 287208.6180373137 5649953.316564962, 287216.7456257115 5649907.770655599, 287221.28019169584 5649882.762312869, 287225.8222921602 5649857.764804483, 287227.59292188415 5649849.173052332, 287230.46289587324 5649836.872396766, 287233.05616503727 5649830.841488118, 287236.6483196801 5649825.671521798, 287239.9103455946 5649822.564133337, 287244.1252201281 5649819.540069867, 287251.1059120941 5649817.760887175, 287264.6605974876 5649817.482082043, 287291.5071176697 5649817.202642738, 287304.504287243 5649816.534829051, 287321.72278209415 5649816.250363134, 287351.14989320154 5649816.132443973))"
